disant	disolh	lar	com				
0.260	0.420	0.990	2.860				
0.250	0.440	0.990	2.750				
0.240	0.440	1.060	2.710				
0.250	0.430	0.940	2.680				
0.270	0.460	1.080	2.890				
0.250	0.460	1.120	2.770				
0.260	0.450	1.110	2.750				
0.260	0.460	1.070	2.830				
0.270	0.460	1.060	2.820				
0.250	0.450	0.990	2.810				
0.250	0.450	0.990	2.650				
0.250	0.460	1.000	2.860				
0.260	0.450	1.000	2.820				
0.250	0.440	1.030	2.750				
0.250	0.450	0.990	2.770				
0.280	0.470	1.100	2.910				
0.250	0.440	0.980	2.840				
0.250	0.440	0.980	2.730				
0.260	0.450	0.970	2.730				
0.260	0.450	0.970	2.790				
0.250	0.440	0.970	2.700				
0.260	0.450	1.040	2.820				
0.260	0.480	1.060	2.980				
0.250	0.460	1.040	2.970				
0.260	0.470	1.080	2.990				
0.270	0.460	1.090	2.920				
0.240	0.430	1.060	2.800				
0.220	0.440	0.990	2.860				
0.260	0.450	1.120	2.950				
0.240	0.440	1.020	2.780				
0.260	0.450	1.120	2.990				
0.260	0.450	1.110	2.790				
0.280	0.510	1.260	3.100				
0.250	0.420	1.010	2.740				
0.260	0.460	1.110	2.890				
0.250	0.450	1.070	2.900				
0.240	0.460	1.000	2.890				
0.250	0.470	1.160	3.200				
0.220	0.420	1.000	2.850				
0.260	0.440	1.010	2.820				
0.260	0.440	1.040	2.830				
0.250	0.440	1.020	2.920				
0.260	0.470	1.100	2.950				
0.260	0.440	1.090	2.880				
0.250	0.440	1.090	2.880				
0.270	0.480	1.160	3.140				
0.260	0.480	1.150	3.150				
0.250	0.460	1.080	2.860				
0.250	0.450	1.080	2.860				
0.250	0.480	1.050	3.010				
0.230	0.440	1.030	2.770				
0.240	0.420	1.050	2.910				
0.250	0.450	1.080	2.860				
0.260	0.450	1.090	2.770				
0.240	0.450	1.080	3.090				
0.250	0.450	1.070	2.920				
0.250	0.450	1.120	2.930				
0.240	0.430	0.970	2.870				
0.250	0.430	0.970	2.640				
0.250	0.450	1.020	2.750				
0.250	0.430	1.020	2.810				
0.250	0.440	1.040	2.720				
0.240	0.460	1.020	2.960				
0.240	0.450	1.060	2.790				
0.230	0.440	0.980	2.790				
0.250	0.460	0.980	2.880				
0.240	0.440	1.030	2.780				
0.240	0.430	1.010	2.840				
